company,enterprise_number
MIX TELEMATICS,South Africa > M1995013858
NEDGROUP PRIVATE WEALTH,South Africa > M1997009637
EATON TRUCK COMPONENTS,South Africa > M1995013866
BASF COATINGS SERVICES,South Africa > M2000011301
MELVILLE DOUGLAS INVESTMENT MANAGEMENT,South Africa > M1987005041
FINSCH DIAMOND MINE,South Africa > M2001025614
PROFIT BLUE FOREX,South Africa > K2019559638
SOFTWAREONE EXPERTS SOUTH AFRICA,South Africa > K2011146394
GRAY SWAN INVESTMENT MANAGEMENT,South Africa > K2017518849
TRANS MOMENTUM,South Africa > K2020115927
WB INVESTMENTS,South Africa > K2020779782
EQUITY EXPRESS SECURITIES EXCHANGE,South Africa > K2015197820
ORIVEST,South Africa > K2018303451
CRECEMOS,South Africa > K2022560260
EMPALE,South Africa > K2015340352
CLAINOS CAPITAL,South Africa > K2019086030
NRG HOLDINGS,South Africa > K2020042815
BULLISHFX CONSULTANCY,South Africa > K2017509655
HENKEL SOUTH AFRICA,South Africa > M1951002861
BFF EXPRESS SERVICES,South Africa > K2015041382
PROFESSIONAL PROVIDENT SOCIETY INSURANCE COMPANY,South Africa > M2001017730
AFRIKA AVONTUUR KAPITAAL,South Africa > K2013006306
JOHNSON AND JOHNSON MEDICAL,South Africa > M1983013283
SCHENCK PROCESS AFRICA,South Africa > M1929001731
SBG SECURITIES,South Africa > M1972008305
MINOAN CAPITAL,South Africa > K2013130048
MACQUARIE EQUITIES SOUTH AFRICA,South Africa > M2006000899
STEVE MADDEN SOUTH AFRICA,South Africa > K2013150140
STEINHOFF AFRICA HOLDINGS,South Africa > M1969015042
MICHELIN TYRE COMPANY SOUTH AFRICA,South Africa > M1941014581
SIYANDA CAPITAL,South Africa > K2017180022
KALECK CAPITAL,South Africa > K2016042841
OSRIN ADVISORY,South Africa > B2001062663
NIKE SOUTH AFRICA,South Africa > M1995000105
ROZENDAL PARTNERS,South Africa > K2017035477
TAJ MAHAL INVESTMENTS,South Africa > B2006063810
DP VENTURES,South Africa > M2000020712
FIREBOX CAPITAL,South Africa > K2012157082
LINDT AND SPRUNGLI (SOUTH AFRICA),South Africa > M2011001971
ERICSSON SOUTH AFRICA,South Africa > M1994008277
IVLYN LOCAL INVESTMENT HOLDINGS,South Africa > K2016360951
BP SOUTHERN AFRICA,South Africa > M1924002602
M AND R GLOBAL INVESTMENTS,South Africa > K2017244864
AFFLUENCE CAPITAL,South Africa > M2001000763
GLOBAL AND LOCAL INVESTMENT ADVISORS,South Africa > M2006002605
TENNANT METALS SOUTH AFRICA,South Africa > M2007033488
ESSITY SOUTH AFRICA,South Africa > M1995000918
WANDSA INVESTMENT PROJECTS,South Africa > B2011020377
AMBIENTO,South Africa > K2015364942
IMPERIAL LOGISTICS,South Africa > M1946021048
GFI INTERNATIONAL AND CAPITAL MARKET BROKERS,South Africa > M1996011180
MATLA A BOKONE SOLAR(RF),South Africa > K2011134229
TRUE SOUTH 1,South Africa > K2017049291
CARGILL RSA,South Africa > M1998020303
GEROCON HOLDINGS,South Africa > K2021115101
ARBITRARY CO,South Africa > K2015261719
DIFFERENTIAL CAPITAL,South Africa > K2018489440
IFX BROKERS HOLDINGS,South Africa > K2017027249
SESFIKILE CAPITAL,South Africa > M2008022541
INTELLIGENT LAYER,South Africa > K2018292847
RENERGEN,South Africa > K2014195093
JOHN DEERE ASIA (SINGAPORE) (INCORPORATED IN  SINGAPORE),South Africa > K2018582554
SIX13 INVEST,South Africa > K2017654678
ZEDA,South Africa > K2022493042
SANUS FINANCIAL SERVICES,South Africa > K2020659426
NESTLE (SOUTH AFRICA),South Africa > M1916001498
INSURATRADE,South Africa > K2022890691
ARCH REGAL CAPITAL,South Africa > K2023537030
STISA,South Africa > K2015214362
RALEK MULTIVENTURES,South Africa > K2014015264
EUROTRADE SA,South Africa > K2017223774
